category;lv;bias;RMSE;sd
1;0,0920322203370287;0,0208008464443823;0,0284919842237948;0,0381630649345062
2;0,114698469698717;0,0591915990824204;0,0970115818869045;0,150647410786674
3;0,115080633205396;0,0548132540547766;0,0950498054702006;0,15219968174652
4;0,237402605959774;-0,183031012125546;0,232413278768388;0,280735916836753
5;0,157144975044064;-0,00618329578769063;0,0528893992768215;0,102952354317247
6;0,114922496581943;-0,0169024089491422;0,0312819808134156;0,0515919841786266
7;0,168718599173077;0,0713110172807998;0,165689295476271;0,293134244088871
