category;lv;bias;RMSE;sd
1;0,113664527438871;0,0432871868167736;0,0432999669394152;0,00206181793977907
2;0,0501768137259841;0,00202039679955611;0,00444658264337848;0,00776370176018098
3;0,0841391539135779;0,0284991941320796;0,0286726192318851;0,00617167476529084
4;0,306257493174285;-0,0205410052812521;0,0211354551066606;0,00975571460079294
5;0,232769477215713;0,0501661956600063;0,0502826125033551;0,00670249309174362
6;0,120241393554107;-0,124188767098255;0,124221079760191;0,00555298938604119
7;0,0927511409774626;0,0207567989710913;0,0214012548616229;0,0102162837633377
