category;lv;bias;RMSE;sd
1;0,0969392586920822;0,026561918069985;0,0265644485049244;0,000718635581492686
2;0,0542561229938443;0,00609970606741631;0,00613590205396174;0,00130436476895352
3;0,0743383338202847;0,0186983740387864;0,0187248533189559;0,00195110111805534
4;0,339693925869208;0,0128954274136712;0,0129738296575951;0,00279133715199789
5;0,208524335815106;0,0259210542593998;0,0259615505836759;0,002841023069481
6;0,112619764852857;-0,131810395799505;0,131811718918599;0,00115756785872928
7;0,113628257956618;0,0416339159502464;0,0416433073186249;0,00173333947377756
