category;lv;bias;RMSE;sd
1;0,114849330525807;0,0444719899037095;0,0445011349781384;0,00315622588818515
2;0,0448109453237555;-0,00334547160267244;0,00571689203436709;0,00908617490179549
3;0,0856665021106824;0,0300265423291841;0,0301291779675397;0,00487016450299699
4;0,311572987295606;-0,0152255111599306;0,0158570902878334;0,00868417638504477
5;0,23232618354373;0,0497229019880235;0,0500103422968235;0,0104942131282507
6;0,121019172451313;-0,123410988201049;0,123432893984069;0,00455770955876484
7;0,0897548787491059;0,0177605367427346;0,0189654741202237;0,0130384266694323
