category;lv;bias;RMSE;sd
1;0,0744559935427545;0,00322461965010813;0,00327333898863507;0,00110279613217939
2;0,0566227947353682;0,00111592411907182;0,00139216206685379;0,00163143197107122
3;0,069474689903965;0,00920731075334509;0,00950638471936778;0,00463687251093059
4;0,381158680218097;-0,0392749378672234;0,039377123951042;0,00555657275402063
5;0,192185415190999;0,0288571443592446;0,0292224465448696;0,00902805052670298
6;0,10010707167213;-0,0317178338589549;0,0317233907095437;0,00116374066391936
7;0,125995354736686;0,0285877728444086;0,0286022337806306;0,00178243766255068
