category;lv;bias;RMSE;sd
1;0,0946826560363714;0,023451282143725;0,0286201836139215;0,0321554876053185
2;0,0790073632365296;0,0235004926202331;0,0574601741721531;0,102772025053232
3;0,0795904920355149;0,019323112884895;0,055799414554559;0,102599812298768
4;0,269245721251256;-0,151187896834064;0,207676433649592;0,279062435988158
5;0,191368375969822;0,0280401051380675;0,0753621416687279;0,13710483560654
6;0,164587279885351;0,032762374354266;0,134560923019549;0,255802669140526
7;0,121518111585155;0,0241105296928775;0,10375965495057;0,19780224790023
