category;lv;bias;RMSE;sd
1;0,0761197226020064;0,00488834870935994;0,00491116905979844;0,000926871606658577
2;0,0571482695570527;0,0016413989407563;0,00249584912598158;0,00368515047769828
3;0,0695883506020722;0,0093209714514524;0,009388024178023;0,00219527802092312
4;0,375637076449174;-0,0447965416361463;0,0450049762329443;0,00847974540641522
5;0,199578302337457;0,0362500315057022;0,0364490587315301;0,00745550050886501
6;0,0995124120776846;-0,0323124934534004;0,0323205236349743;0,00141203664870456
7;0,122415866374553;0,0250082844822757;0,0250237507354154;0,00172414073688713
